filter, sd, nu, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.4223501682281494,1272,14,125,589,0.362406015037594
BENIGN,0,0.3,0.4264085292816162,1272,14,125,589,0.362406015037594
BENIGN,0,0.5,0.4551706314086914,1272,14,125,589,0.362406015037594
BENIGN,0,0.7,0.46135926246643066,1272,14,125,589,0.362406015037594
BENIGN,0,0.9,0.46280574798583984,1272,14,125,589,0.362406015037594
BENIGN,42,0.1,0.4323904514312744,775,14,856,362,0.6115288220551378
BENIGN,42,0.3,0.4383888244628906,773,14,858,362,0.612531328320802
BENIGN,42,0.5,0.4425537586212158,773,14,858,362,0.612531328320802
BENIGN,42,0.7,0.4726541042327881,774,14,857,362,0.6120300751879699
BENIGN,42,0.9,0.4691143035888672,773,14,858,362,0.612531328320802
BENIGN,123,0.1,0.4220438003540039,832,3,658,505,0.5829573934837092
BENIGN,123,0.3,0.4270205497741699,833,3,657,505,0.5824561403508772
BENIGN,123,0.5,0.4467051029205322,833,3,657,505,0.5824561403508772
BENIGN,123,0.7,0.45429205894470215,832,3,658,505,0.5829573934837092
BENIGN,123,0.9,0.46360230445861816,832,3,658,505,0.5829573934837092
BENIGN,222,0.1,0.4302234649658203,1215,3,376,403,0.39097744360902253
BENIGN,222,0.3,0.45800280570983887,1215,3,376,403,0.39097744360902253
BENIGN,222,0.5,0.4553039073944092,1215,3,376,403,0.39097744360902253
BENIGN,222,0.7,0.4653022289276123,1215,3,376,403,0.39097744360902253
BENIGN,222,0.9,0.47911787033081055,1215,3,376,403,0.39097744360902253
BENIGN,419,0.1,0.4219846725463867,1312,5,292,390,0.3423558897243108
BENIGN,419,0.3,0.4376387596130371,1312,5,292,390,0.3423558897243108
BENIGN,419,0.5,0.4663357734680176,1312,5,292,390,0.3423558897243108
BENIGN,419,0.7,0.4692842960357666,1312,5,292,390,0.3423558897243108
BENIGN,419,0.9,0.4743680953979492,1312,5,292,390,0.3423558897243108
BENIGN,844,0.1,0.41905689239501953,1169,0,411,415,0.41403508771929826
BENIGN,844,0.3,0.4222376346588135,1169,0,411,415,0.41403508771929826
BENIGN,844,0.5,0.44481515884399414,1169,0,411,415,0.41403508771929826
BENIGN,844,0.7,0.46346616744995117,1169,0,411,415,0.41403508771929826
BENIGN,844,0.9,0.4571223258972168,1169,0,411,415,0.41403508771929826
BENIGN,918,0.1,0.4322776794433594,1191,18,337,467,0.4030075187969925
BENIGN,918,0.3,0.4403831958770752,1191,18,337,467,0.4030075187969925
BENIGN,918,0.5,0.4603433609008789,1191,18,337,467,0.4030075187969925
BENIGN,918,0.7,0.48043251037597656,1191,18,337,467,0.4030075187969925
BENIGN,918,0.9,0.4851534366607666,1191,18,337,467,0.4030075187969925
BENIGN,1344,0.1,0.41913676261901855,711,2,901,383,0.643609022556391
BENIGN,1344,0.3,0.42615437507629395,711,2,901,383,0.643609022556391
BENIGN,1344,0.5,0.4486227035522461,711,2,901,383,0.643609022556391
BENIGN,1344,0.7,0.45664310455322266,711,2,901,383,0.643609022556391
BENIGN,1344,0.9,0.4647359848022461,711,2,901,383,0.643609022556391
BENIGN,65536,0.1,0.4097433090209961,927,0,504,564,0.5353383458646617
BENIGN,65536,0.3,0.44181132316589355,920,0,511,564,0.5388471177944862
BENIGN,65536,0.5,0.43469715118408203,920,0,511,564,0.5388471177944862
