filter, sd, nu, gamma, n_components, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,42,0.7,0.9,50,3.5655760765075684,2020,2,58,71,0.06090190609019061
BENIGN,42,0.1,0.1,100,4.327261209487915,2009,2,70,71,0.06601580660158066
BENIGN,42,0.5,0.1,100,4.641183137893677,2023,2,55,71,0.05950720595072059
BENIGN,42,0.7,0.1,100,4.814524173736572,2023,2,55,71,0.05950720595072059
BENIGN,42,0.1,0.5,100,4.64750337600708,2013,2,66,71,0.06415620641562064
BENIGN,42,0.5,0.5,100,4.5369956493377686,2021,2,57,71,0.06043700604370061
BENIGN,42,0.7,0.5,100,4.558561325073242,2021,2,57,71,0.06043700604370061
BENIGN,42,0.1,0.9,100,4.351867198944092,2018,2,61,71,0.06183170618317062
BENIGN,42,0.5,0.9,100,4.445388555526733,2020,2,59,71,0.06090190609019061
BENIGN,42,0.7,0.9,100,4.533354997634888,2020,2,58,71,0.06090190609019061
BENIGN,42,0.1,0.1,150,6.4735331535339355,2009,2,70,71,0.06601580660158066
BENIGN,42,0.5,0.1,150,6.616732358932495,2023,2,55,71,0.05950720595072059
BENIGN,42,0.7,0.1,150,7.094522714614868,2023,2,55,71,0.05950720595072059
BENIGN,42,0.1,0.5,150,6.4254045486450195,2013,2,66,71,0.06415620641562064
BENIGN,42,0.5,0.5,150,6.504529714584351,2021,2,57,71,0.06043700604370061
BENIGN,42,0.7,0.5,150,6.754501581192017,2021,2,57,71,0.06043700604370061
BENIGN,42,0.1,0.9,150,6.380651235580444,2018,2,61,71,0.06183170618317062
BENIGN,42,0.5,0.9,150,6.881882190704346,2020,2,59,71,0.06090190609019061
BENIGN,42,0.7,0.9,150,7.047250032424927,2020,2,58,71,0.06090190609019061
BENIGN,42,0.1,0.1,200,7.424564838409424,2009,2,70,71,0.06601580660158066
BENIGN,42,0.5,0.1,200,7.748197555541992,2023,2,55,71,0.05950720595072059
BENIGN,42,0.7,0.1,200,8.27920913696289,2023,2,55,71,0.05950720595072059
BENIGN,42,0.1,0.5,200,7.654826641082764,2013,2,66,71,0.06415620641562064
BENIGN,42,0.5,0.5,200,7.908592224121094,2021,2,57,71,0.06043700604370061
BENIGN,42,0.7,0.5,200,7.922167778015137,2021,2,57,71,0.06043700604370061
BENIGN,42,0.1,0.9,200,7.586374521255493,2018,2,61,71,0.06183170618317062
BENIGN,42,0.5,0.9,200,7.785790920257568,2020,2,59,71,0.06090190609019061
BENIGN,42,0.7,0.9,200,7.968472719192505,2020,2,58,71,0.06090190609019061
BENIGN,123,0.1,0.1,10,1.0472095012664795,1908,85,59,117,0.11297071129707113
BENIGN,123,0.5,0.1,10,1.1326327323913574,1908,85,56,117,0.11297071129707113
BENIGN,123,0.7,0.1,10,1.206594705581665,1903,85,55,117,0.11529521152952116
BENIGN,123,0.1,0.5,10,1.0746030807495117,1906,85,61,117,0.11390051139005114
BENIGN,123,0.5,0.5,10,1.2151446342468262,1885,85,73,117,0.12366341236634124
BENIGN,123,0.7,0.5,10,1.2213177680969238,1884,85,74,117,0.12412831241283125
BENIGN,123,0.1,0.9,10,1.0973474979400635,1909,85,60,117,0.11250581125058112
BENIGN,123,0.5,0.9,10,1.214282751083374,1863,85,95,117,0.13389121338912133
BENIGN,123,0.7,0.9,10,1.3433072566986084,1862,85,96,117,0.13435611343561135
BENIGN,123,0.1,0.1,50,4.3450927734375,1908,85,59,117,0.11297071129707113
BENIGN,123,0.5,0.1,50,3.8526554107666016,1908,85,56,117,0.11297071129707113
BENIGN,123,0.7,0.1,50,4.625447988510132,1903,85,55,117,0.11529521152952116
BENIGN,123,0.1,0.5,50,4.135885953903198,1906,85,61,117,0.11390051139005114
BENIGN,123,0.5,0.5,50,3.9694387912750244,1885,85,73,117,0.12366341236634124
BENIGN,123,0.7,0.5,50,4.0673322677612305,1884,85,74,117,0.12412831241283125
BENIGN,123,0.1,0.9,50,4.300559043884277,1909,85,60,117,0.11250581125058112
BENIGN,123,0.5,0.9,50,4.231535911560059,1863,85,95,117,0.13389121338912133
BENIGN,123,0.7,0.9,50,4.38718581199646,1862,85,96,117,0.13435611343561135
BENIGN,123,0.1,0.1,100,5.058771371841431,1908,85,59,117,0.11297071129707113
BENIGN,123,0.5,0.1,100,5.228827953338623,1908,85,56,117,0.11297071129707113
BENIGN,123,0.7,0.1,100,5.498774766921997,1903,85,55,117,0.11529521152952116
BENIGN,123,0.1,0.5,100,4.764193296432495,1906,85,61,117,0.11390051139005114
BENIGN,123,0.5,0.5,100,5.1283485889434814,1885,85,73,117,0.12366341236634124
BENIGN,123,0.7,0.5,100,5.211513519287109,1884,85,74,117,0.12412831241283125
BENIGN,123,0.1,0.9,100,4.884751081466675,1909,85,60,117,0.11250581125058112
BENIGN,123,0.5,0.9,100,5.302416086196899,1863,85,95,117,0.13389121338912133
BENIGN,123,0.7,0.9,100,5.365763187408447,1862,85,96,117,0.13435611343561135
BENIGN,123,0.1,0.1,150,6.96934962272644,1908,85,59,117,0.11297071129707113
BENIGN,123,0.5,0.1,150,7.355346202850342,1908,85,56,117,0.11297071129707113
BENIGN,123,0.7,0.1,150,7.894185781478882,1903,85,55,117,0.11529521152952116
BENIGN,123,0.1,0.5,150,7.311724424362183,1906,85,61,117,0.11390051139005114
BENIGN,123,0.5,0.5,150,7.475151300430298,1885,85,73,117,0.12366341236634124
BENIGN,123,0.7,0.5,150,7.6457765102386475,1884,85,74,117,0.12412831241283125
BENIGN,123,0.1,0.9,150,7.485108375549316,1909,85,60,117,0.11250581125058112
BENIGN,123,0.5,0.9,150,7.510350942611694,1863,85,95,117,0.13389121338912133
BENIGN,123,0.7,0.9,150,7.588542938232422,1862,85,96,117,0.13435611343561135
BENIGN,123,0.1,0.1,200,8.61838150024414,1908,85,59,117,0.11297071129707113
BENIGN,123,0.5,0.1,200,8.99162745475769,1908,85,56,117,0.11297071129707113
BENIGN,123,0.7,0.1,200,9.183631181716919,1903,85,55,117,0.11529521152952116
BENIGN,123,0.1,0.5,200,8.594847202301025,1906,85,61,117,0.11390051139005114
BENIGN,123,0.5,0.5,200,8.86064600944519,1885,85,73,117,0.12366341236634124
BENIGN,123,0.7,0.5,200,8.88968825340271,1884,85,74,117,0.12412831241283125
BENIGN,123,0.1,0.9,200,8.473294019699097,1909,85,60,117,0.11250581125058112
BENIGN,123,0.5,0.9,200,8.549030065536499,1863,85,95,117,0.13389121338912133
BENIGN,123,0.7,0.9,200,8.581389904022217,1862,85,96,117,0.13435611343561135
BENIGN,222,0.1,0.1,10,1.1004533767700195,1969,74,46,66,0.08461180846118084
BENIGN,222,0.5,0.1,10,1.1783380508422852,1951,74,65,66,0.09298000929800093
BENIGN,222,0.7,0.1,10,1.2892508506774902,1964,74,52,66,0.08693630869363086
BENIGN,222,0.1,0.5,10,1.0998163223266602,1970,74,45,66,0.08414690841469084
BENIGN,222,0.5,0.5,10,1.183424472808838,1959,74,57,66,0.08926080892608089
BENIGN,222,0.7,0.5,10,1.18064546585083,1965,74,51,66,0.08647140864714087
BENIGN,222,0.1,0.9,10,1.101973295211792,1970,74,45,66,0.08414690841469084
BENIGN,222,0.5,0.9,10,1.1923916339874268,1964,74,52,66,0.08693630869363086
BENIGN,222,0.7,0.9,10,1.1792831420898438,1968,74,48,66,0.08507670850767085
BENIGN,222,0.1,0.1,50,3.7662017345428467,1969,74,46,66,0.08461180846118084
BENIGN,222,0.5,0.1,50,4.222001552581787,1951,74,65,66,0.09298000929800093
BENIGN,222,0.7,0.1,50,4.2743072509765625,1964,74,52,66,0.08693630869363086
BENIGN,222,0.1,0.5,50,4.135944843292236,1970,74,46,66,0.08414690841469084
BENIGN,222,0.5,0.5,50,4.074004650115967,1959,74,57,66,0.08926080892608089
BENIGN,222,0.7,0.5,50,4.180511236190796,1965,74,51,66,0.08647140864714087
BENIGN,222,0.1,0.9,50,3.850175619125366,1970,74,45,66,0.08414690841469084
BENIGN,222,0.5,0.9,50,4.029767990112305,1964,74,52,66,0.08693630869363086
BENIGN,222,0.7,0.9,50,3.9912047386169434,1968,74,48,66,0.08507670850767085
BENIGN,222,0.1,0.1,100,4.764039516448975,1969,74,46,66,0.08461180846118084
BENIGN,222,0.5,0.1,100,5.170943975448608,1951,74,65,66,0.09298000929800093
BENIGN,222,0.7,0.1,100,5.6479315757751465,1964,74,52,66,0.08693630869363086
BENIGN,222,0.1,0.5,100,5.285729885101318,1970,74,46,66,0.08414690841469084
BENIGN,222,0.5,0.5,100,5.237669467926025,1959,74,57,66,0.08926080892608089
BENIGN,222,0.7,0.5,100,5.291248559951782,1965,74,51,66,0.08647140864714087
BENIGN,222,0.1,0.9,100,5.32181978225708,1970,74,45,66,0.08414690841469084
BENIGN,222,0.5,0.9,100,5.453200578689575,1964,74,52,66,0.08693630869363086
BENIGN,222,0.7,0.9,100,5.367649793624878,1968,74,48,66,0.08507670850767085
BENIGN,222,0.1,0.1,150,7.0902605056762695,1969,74,46,66,0.08461180846118084
BENIGN,222,0.5,0.1,150,8.178370714187622,1951,74,65,66,0.09298000929800093
BENIGN,222,0.7,0.1,150,8.902100563049316,1964,74,52,66,0.08693630869363086
BENIGN,222,0.1,0.5,150,7.354699611663818,1970,74,45,66,0.08414690841469084
BENIGN,222,0.5,0.5,150,7.560196161270142,1959,74,57,66,0.08926080892608089
BENIGN,222,0.7,0.5,150,7.661221981048584,1965,74,51,66,0.08647140864714087
BENIGN,222,0.1,0.9,150,7.577212810516357,1970,74,45,66,0.08414690841469084
BENIGN,222,0.5,0.9,150,7.419694662094116,1964,74,52,66,0.08693630869363086
BENIGN,222,0.7,0.9,150,7.662769079208374,1968,74,47,66,0.08507670850767085
BENIGN,222,0.1,0.1,200,8.319185256958008,1969,74,46,66,0.08461180846118084
BENIGN,222,0.5,0.1,200,8.79489254951477,1951,74,65,66,0.09298000929800093
BENIGN,222,0.7,0.1,200,9.165698528289795,1964,74,52,66,0.08693630869363086
BENIGN,222,0.1,0.5,200,8.152554035186768,1970,74,45,66,0.08414690841469084
BENIGN,222,0.5,0.5,200,8.881549596786499,1959,74,57,66,0.08926080892608089
BENIGN,222,0.7,0.5,200,8.791441440582275,1965,74,51,66,0.08647140864714087
BENIGN,222,0.1,0.9,200,8.568683624267578,1970,74,45,66,0.08414690841469084
BENIGN,222,0.5,0.9,200,8.577760696411133,1964,74,52,66,0.08693630869363086
BENIGN,222,0.7,0.9,200,8.94040322303772,1968,74,47,66,0.08507670850767085
BENIGN,419,0.1,0.1,10,1.0950825214385986,1966,83,27,89,0.08600650860065086
BENIGN,419,0.5,0.1,10,1.3830325603485107,1971,83,8,89,0.08368200836820083
BENIGN,419,0.7,0.1,10,1.2484073638916016,1909,83,70,89,0.11250581125058112
BENIGN,419,0.1,0.5,10,1.1006081104278564,1967,83,15,89,0.08554160855416086
BENIGN,419,0.5,0.5,10,1.2105979919433594,1935,83,44,89,0.100418410041841
BENIGN,419,0.7,0.5,10,1.2324271202087402,1934,83,45,89,0.10088331008833101
