filter, sd, nu, gamma, n_components, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.1,10,0.6190178394317627,8634,24,981,4713,0.3977819627537142
BENIGN,0,0.5,0.1,10,0.7456796169281006,8653,24,962,4713,0.3964567203738579
BENIGN,0,0.7,0.1,10,0.7552430629730225,8661,24,954,4713,0.3958987235823394
BENIGN,0,0.1,0.5,10,0.6221623420715332,8639,24,976,4713,0.39743321475901516
BENIGN,0,0.5,0.5,10,0.7078170776367188,8657,24,958,4713,0.39617772197809864
BENIGN,0,0.7,0.5,10,0.7464239597320557,8661,24,954,4713,0.3958987235823394
BENIGN,0,0.1,0.9,10,0.6190154552459717,8640,24,975,4713,0.3973634651600753
BENIGN,0,0.5,0.9,10,0.6667592525482178,8658,24,957,4713,0.39610797237915885
BENIGN,0,0.7,0.9,10,0.7461473941802979,8660,24,955,4713,0.3959684731812792
BENIGN,0,0.1,0.1,50,1.1484992504119873,8634,24,981,4713,0.3977819627537142
BENIGN,0,0.5,0.1,50,1.3364150524139404,8653,24,962,4713,0.3964567203738579
BENIGN,0,0.7,0.1,50,1.3595976829528809,8661,24,954,4713,0.3958987235823394
BENIGN,0,0.1,0.5,50,1.1557011604309082,8639,24,976,4713,0.39743321475901516
BENIGN,0,0.5,0.5,50,1.2579057216644287,8657,24,958,4713,0.39617772197809864
BENIGN,0,0.7,0.5,50,1.3693208694458008,8661,24,954,4713,0.3958987235823394
BENIGN,0,0.1,0.9,50,1.1479647159576416,8640,24,975,4713,0.3973634651600753
BENIGN,0,0.5,0.9,50,1.22359037399292,8658,24,957,4713,0.39610797237915885
BENIGN,0,0.7,0.9,50,1.355179786682129,8660,24,955,4713,0.3959684731812792
BENIGN,0,0.1,0.1,100,1.875852346420288,8634,24,981,4713,0.3977819627537142
BENIGN,0,0.5,0.1,100,2.1146597862243652,8653,24,962,4713,0.3964567203738579
BENIGN,0,0.7,0.1,100,2.2171123027801514,8661,24,954,4713,0.3958987235823394
BENIGN,0,0.1,0.5,100,1.857142686843872,8639,24,976,4713,0.39743321475901516
BENIGN,0,0.5,0.5,100,2.0457820892333984,8657,24,958,4713,0.39617772197809864
BENIGN,0,0.7,0.5,100,2.2364985942840576,8661,24,954,4713,0.3958987235823394
BENIGN,0,0.1,0.9,100,1.906771183013916,8640,24,975,4713,0.3973634651600753
BENIGN,0,0.5,0.9,100,2.0063939094543457,8658,24,957,4713,0.39610797237915885
BENIGN,0,0.7,0.9,100,2.184088706970215,8660,24,955,4713,0.3959684731812792
BENIGN,0,0.1,0.1,150,2.577927350997925,8634,24,981,4713,0.3977819627537142
BENIGN,0,0.5,0.1,150,3.0051934719085693,8653,24,962,4713,0.3964567203738579
BENIGN,0,0.7,0.1,150,3.099287271499634,8661,24,954,4713,0.3958987235823394
BENIGN,0,0.1,0.5,150,2.567107915878296,8639,24,976,4713,0.39743321475901516
BENIGN,0,0.5,0.5,150,2.843620777130127,8657,24,958,4713,0.39617772197809864
BENIGN,0,0.7,0.5,150,3.0815298557281494,8661,24,954,4713,0.3958987235823394
BENIGN,0,0.1,0.9,150,2.589669942855835,8640,24,975,4713,0.3973634651600753
BENIGN,0,0.5,0.9,150,2.7628889083862305,8658,24,957,4713,0.39610797237915885
