filter, sd, nu, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.4383084774017334,8410,24,1205,4711,0.4134058729162307
BENIGN,0,0.3,0.4511988162994385,8411,24,1204,4711,0.4133361233172909
BENIGN,0,0.5,0.45775723457336426,8411,24,1204,4711,0.4133361233172909
BENIGN,0,0.7,0.4638974666595459,8411,24,1204,4711,0.4133361233172909
BENIGN,0,0.9,0.47330212593078613,8411,24,1204,4711,0.4133361233172909
BENIGN,42,0.1,0.43458008766174316,6237,44,5297,2788,0.5649717514124294
BENIGN,42,0.3,0.43911290168762207,6236,44,5298,2788,0.5650415010113692
BENIGN,42,0.5,0.4554769992828369,6236,44,5299,2788,0.5650415010113692
BENIGN,42,0.7,0.46930909156799316,6237,44,5298,2788,0.5649717514124294
BENIGN,42,0.9,0.46986818313598633,6232,44,5303,2788,0.5653204994071284
BENIGN,123,0.1,0.4383575916290283,6699,5,3603,4035,0.532747436702239
BENIGN,123,0.3,0.43967723846435547,6703,5,3599,4035,0.5324684383064797
BENIGN,123,0.5,0.4643270969390869,6701,5,3601,4035,0.5326079375043593
BENIGN,123,0.7,0.47068333625793457,6701,5,3601,4035,0.5326079375043593
BENIGN,123,0.9,0.4753086566925049,6700,5,3602,4035,0.5326776871032991
BENIGN,222,0.1,0.41814661026000977,8768,58,2852,2698,0.3884355164957802
BENIGN,222,0.3,0.43680834770202637,8770,58,2850,2698,0.38829601729790053
BENIGN,222,0.5,0.4575831890106201,8774,58,2847,2698,0.3880170189021413
BENIGN,222,0.7,0.4684171676635742,8776,58,2845,2698,0.3878775197042617
BENIGN,222,0.9,0.4850118160247803,8777,58,2844,2698,0.3878077701053219
BENIGN,419,0.1,0.4260227680206299,9382,21,2125,2824,0.3456092627467392
BENIGN,419,0.3,0.4410440921783447,9381,21,2126,2824,0.345679012345679
BENIGN,419,0.5,0.46291303634643555,9381,21,2126,2824,0.345679012345679
BENIGN,419,0.7,0.4616529941558838,9381,21,2126,2824,0.345679012345679
BENIGN,419,0.9,0.4726264476776123,9381,21,2126,2824,0.345679012345679
BENIGN,844,0.1,0.42864179611206055,8834,10,2410,3093,0.38383204296575296
BENIGN,844,0.3,0.43866801261901855,8834,10,2410,3093,0.38383204296575296
BENIGN,844,0.5,0.4776322841644287,8834,10,2410,3093,0.38383204296575296
BENIGN,844,0.7,0.4710063934326172,8834,10,2410,3093,0.38383204296575296
