filter, sd, nu, gamma, n_components, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.1,10,0.6357522010803223,1367,10,169,615,0.36448163644816367
BENIGN,0,0.5,0.1,10,0.7542281150817871,1373,10,163,615,0.36169223616922364
BENIGN,0,0.7,0.1,10,0.7718150615692139,1373,10,163,615,0.36169223616922364
BENIGN,0,0.1,0.5,10,0.6419901847839355,1367,10,169,615,0.36448163644816367
BENIGN,0,0.5,0.5,10,0.72369384765625,1373,10,163,615,0.36169223616922364
BENIGN,0,0.7,0.5,10,0.761221170425415,1373,10,163,615,0.36169223616922364
BENIGN,0,0.1,0.9,10,0.6357569694519043,1367,10,169,615,0.36448163644816367
BENIGN,0,0.5,0.9,10,0.6839144229888916,1373,10,163,615,0.36169223616922364
BENIGN,0,0.7,0.9,10,0.7599329948425293,1373,10,163,615,0.36169223616922364
BENIGN,0,0.1,0.1,50,1.2288239002227783,1367,10,169,615,0.36448163644816367
BENIGN,0,0.5,0.1,50,1.420069694519043,1373,10,163,615,0.36169223616922364
BENIGN,0,0.7,0.1,50,1.4526095390319824,1373,10,163,615,0.36169223616922364
BENIGN,0,0.1,0.5,50,1.2234547138214111,1367,10,169,615,0.36448163644816367
BENIGN,0,0.5,0.5,50,1.3338916301727295,1373,10,163,615,0.36169223616922364
BENIGN,0,0.7,0.5,50,1.445206642150879,1373,10,163,615,0.36169223616922364
BENIGN,0,0.1,0.9,50,1.2178611755371094,1367,10,169,615,0.36448163644816367
BENIGN,0,0.5,0.9,50,1.2992045879364014,1373,10,163,615,0.36169223616922364
BENIGN,0,0.7,0.9,50,1.4444773197174072,1373,10,163,615,0.36169223616922364
BENIGN,0,0.1,0.1,100,1.80916166305542,1367,10,169,615,0.36448163644816367
BENIGN,0,0.5,0.1,100,2.0658936500549316,1373,10,163,615,0.36169223616922364
BENIGN,0,0.7,0.1,100,2.116133689880371,1373,10,163,615,0.36169223616922364
BENIGN,0,0.1,0.5,100,1.80849289894104,1367,10,169,615,0.36448163644816367
BENIGN,0,0.5,0.5,100,1.9841251373291016,1373,10,163,615,0.36169223616922364
