filter, sd, nu, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.40588974952697754,986,25,61,532,0.38451935081148564
BENIGN,0,0.3,0.41532278060913086,986,25,61,532,0.38451935081148564
BENIGN,0,0.5,0.44032788276672363,986,25,61,532,0.38451935081148564
BENIGN,0,0.7,0.4489893913269043,986,25,61,532,0.38451935081148564
BENIGN,0,0.9,0.45558667182922363,986,25,61,532,0.38451935081148564
BENIGN,42,0.1,0.40552353858947754,389,23,782,431,0.7571785268414482
BENIGN,42,0.3,0.4153327941894531,389,23,782,431,0.7571785268414482
BENIGN,42,0.5,0.43688511848449707,389,23,782,431,0.7571785268414482
BENIGN,42,0.7,0.44844579696655273,389,23,782,431,0.7571785268414482
BENIGN,42,0.9,0.46160268783569336,389,23,782,431,0.7571785268414482
BENIGN,123,0.1,0.4136354923248291,411,1,676,515,0.7434456928838952
BENIGN,123,0.3,0.42645788192749023,411,1,676,515,0.7434456928838952
BENIGN,123,0.5,0.4392359256744385,411,1,676,515,0.7434456928838952
BENIGN,123,0.7,0.45745229721069336,411,1,676,515,0.7434456928838952
BENIGN,123,0.9,0.4549415111541748,411,1,676,515,0.7434456928838952
BENIGN,222,0.1,0.43083763122558594,883,3,264,455,0.4488139825218477
BENIGN,222,0.3,0.4325244426727295,882,3,265,455,0.449438202247191
BENIGN,222,0.5,0.4430403709411621,882,3,265,455,0.449438202247191
BENIGN,222,0.7,0.4599738121032715,880,3,267,455,0.45068664169787764
BENIGN,222,0.9,0.4638559818267822,880,3,267,455,0.45068664169787764
BENIGN,419,0.1,0.4213566780090332,1005,4,158,439,0.37265917602996257
BENIGN,419,0.3,0.4341545104980469,1005,4,158,439,0.37265917602996257
BENIGN,419,0.5,0.4508390426635742,1005,4,158,439,0.37265917602996257
BENIGN,419,0.7,0.4639592170715332,1005,4,158,439,0.37265917602996257
BENIGN,419,0.9,0.4613008499145508,1005,4,158,439,0.37265917602996257
BENIGN,844,0.1,0.4081997871398926,632,2,501,469,0.6054931335830213
BENIGN,844,0.3,0.4212453365325928,633,2,500,469,0.6048689138576779
BENIGN,844,0.5,0.44530534744262695,633,2,500,469,0.6048689138576779
BENIGN,844,0.7,0.4692835807800293,632,2,501,469,0.6054931335830213
BENIGN,844,0.9,0.46901512145996094,632,2,501,469,0.6054931335830213
BENIGN,918,0.1,0.4168055057525635,985,4,152,465,0.38514357053682896
BENIGN,918,0.3,0.4155600070953369,985,4,152,465,0.38514357053682896
BENIGN,918,0.5,0.4341597557067871,985,4,152,465,0.38514357053682896
BENIGN,918,0.7,0.4622840881347656,985,4,152,465,0.38514357053682896
BENIGN,918,0.9,0.4667196273803711,985,4,152,465,0.38514357053682896
BENIGN,1344,0.1,0.42110228538513184,318,1,753,531,0.8014981273408239
BENIGN,1344,0.3,0.43563365936279297,317,1,754,531,0.8021223470661673
BENIGN,1344,0.5,0.44800400733947754,317,1,754,531,0.8021223470661673
BENIGN,1344,0.7,0.46651363372802734,317,1,754,531,0.8021223470661673
BENIGN,1344,0.9,0.4617044925689697,317,1,754,531,0.8021223470661673
BENIGN,65536,0.1,0.41443324089050293,502,2,407,693,0.686641697877653
BENIGN,65536,0.3,0.42168712615966797,492,2,417,693,0.6928838951310862
BENIGN,65536,0.5,0.44189000129699707,492,2,417,693,0.6928838951310862
BENIGN,65536,0.7,0.455000638961792,492,2,417,693,0.6928838951310862
BENIGN,65536,0.9,0.4567704200744629,492,2,417,693,0.6928838951310862
BENIGN,815149,0.1,0.408768892288208,428,25,711,463,0.7328339575530587
BENIGN,815149,0.3,0.4109961986541748,428,25,711,463,0.7328339575530587
BENIGN,815149,0.5,0.43752431869506836,428,25,711,463,0.7328339575530587
BENIGN,815149,0.7,0.44850921630859375,428,25,711,463,0.7328339575530587
BENIGN,815149,0.9,0.4668440818786621,428,25,711,463,0.7328339575530587
DrDoS_LDAP,0,0.1,0.5030338764190674,82,88965,94621,2085225,0.9999623840787402
DrDoS_LDAP,0,0.3,0.5280075073242188,82,88965,94621,2085225,0.9999623840787402
DrDoS_LDAP,0,0.5,0.5485556125640869,82,88965,94621,2085225,0.9999623840787402
DrDoS_LDAP,0,0.7,0.5571532249450684,82,88965,94621,2085225,0.9999623840787402
DrDoS_LDAP,0,0.9,0.5626754760742188,82,88965,94621,2085225,0.9999623840787402
DrDoS_LDAP,42,0.1,0.5133152008056641,78,0,2425,2177425,0.9999642190017285
DrDoS_LDAP,42,0.3,0.5255582332611084,77,0,2426,2177425,0.9999646777324755
DrDoS_LDAP,42,0.5,0.5236544609069824,78,0,2425,2177425,0.9999642190017285
DrDoS_LDAP,42,0.7,0.5517070293426514,78,0,2425,2177425,0.9999642190017285
DrDoS_LDAP,42,0.9,0.5404579639434814,78,0,2425,2177425,0.9999642190017285
DrDoS_LDAP,123,0.1,0.5175952911376953,120546,49,21356,2038026,0.944701843363634
DrDoS_LDAP,123,0.3,0.5420925617218018,120680,49,21222,2038026,0.9446403734435266
DrDoS_LDAP,123,0.5,0.5418274402618408,120672,49,21230,2038026,0.9446440432895031
DrDoS_LDAP,123,0.7,0.5575711727142334,120669,49,21233,2038026,0.9446454194817443
DrDoS_LDAP,123,0.9,0.5492184162139893,120668,49,21234,2038026,0.9446458782124915
DrDoS_LDAP,222,0.1,0.49134206771850586,753,0,207,2178968,0.9996545757474559
DrDoS_LDAP,222,0.3,0.5179173946380615,753,0,207,2178968,0.9996545757474559
DrDoS_LDAP,222,0.5,0.5229041576385498,753,0,207,2178968,0.9996545757474559
DrDoS_LDAP,222,0.7,0.5442895889282227,753,0,207,2178968,0.9996545757474559
DrDoS_LDAP,222,0.9,0.5434927940368652,753,0,207,2178968,0.9996545757474559
DrDoS_LDAP,419,0.1,0.5125014781951904,180,22,38,2179710,0.9999174284655273
DrDoS_LDAP,419,0.3,0.5189309120178223,180,22,38,2179710,0.9999174284655273
DrDoS_LDAP,419,0.5,0.5250916481018066,180,22,38,2179710,0.9999174284655273
