filter, sd, nu, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.4149813652038574,493,3,47,222,0.3530183727034121
BENIGN,0,0.3,0.41398048400878906,493,3,47,222,0.3530183727034121
BENIGN,0,0.5,0.43844127655029297,493,3,47,222,0.3530183727034121
BENIGN,0,0.7,0.4647836685180664,493,3,47,222,0.3530183727034121
BENIGN,0,0.9,0.45863986015319824,493,3,47,222,0.3530183727034121
BENIGN,42,0.1,0.4120290279388428,305,0,330,127,0.5997375328083989
BENIGN,42,0.3,0.415773868560791,304,0,331,127,0.6010498687664042
BENIGN,42,0.5,0.43534231185913086,304,0,331,127,0.6010498687664042
BENIGN,42,0.7,0.440108060836792,304,0,331,127,0.6010498687664042
BENIGN,42,0.9,0.4651930332183838,304,0,331,127,0.6010498687664042
BENIGN,123,0.1,0.4141528606414795,295,0,258,209,0.6128608923884514
BENIGN,123,0.3,0.41710710525512695,295,0,258,209,0.6128608923884514
BENIGN,123,0.5,0.43763089179992676,294,0,259,209,0.6141732283464567
BENIGN,123,0.7,0.45780086517333984,294,0,259,209,0.6141732283464567
BENIGN,123,0.9,0.4545164108276367,294,0,259,209,0.6141732283464567
BENIGN,222,0.1,0.4445493221282959,444,4,162,155,0.41732283464566927
BENIGN,222,0.3,0.4289891719818115,444,4,162,155,0.41732283464566927
BENIGN,222,0.5,0.44426584243774414,444,4,162,155,0.41732283464566927
BENIGN,222,0.7,0.46317601203918457,444,4,162,155,0.41732283464566927
BENIGN,222,0.9,0.46672558784484863,444,4,162,155,0.41732283464566927
BENIGN,419,0.1,0.41874217987060547,518,0,74,170,0.32020997375328086
BENIGN,419,0.3,0.426971435546875,518,0,74,170,0.32020997375328086
BENIGN,419,0.5,0.4434082508087158,518,0,74,170,0.32020997375328086
BENIGN,419,0.7,0.471813440322876,518,0,74,170,0.32020997375328086
BENIGN,419,0.9,0.46143507957458496,518,0,74,170,0.32020997375328086
BENIGN,844,0.1,0.42064642906188965,462,2,153,147,0.3937007874015748
BENIGN,844,0.3,0.4264688491821289,462,2,153,147,0.3937007874015748
BENIGN,844,0.5,0.4409291744232178,462,2,153,147,0.3937007874015748
BENIGN,844,0.7,0.4545905590057373,462,2,153,147,0.3937007874015748
BENIGN,844,0.9,0.4624333381652832,462,2,153,147,0.3937007874015748
BENIGN,918,0.1,0.41910266876220703,464,5,121,177,0.3910761154855643
BENIGN,918,0.3,0.42457008361816406,464,5,121,177,0.3910761154855643
BENIGN,918,0.5,0.4505579471588135,464,5,121,177,0.3910761154855643
BENIGN,918,0.7,0.4677398204803467,464,5,121,177,0.3910761154855643
BENIGN,918,0.9,0.4671769142150879,464,5,121,177,0.3910761154855643
BENIGN,1344,0.1,0.41538166999816895,250,1,351,161,0.6719160104986877
BENIGN,1344,0.3,0.4305250644683838,249,1,352,161,0.6732283464566929
BENIGN,1344,0.5,0.45285892486572266,250,1,351,161,0.6719160104986877
BENIGN,1344,0.7,0.4615802764892578,250,1,351,161,0.6719160104986877
BENIGN,1344,0.9,0.46163272857666016,250,1,351,161,0.6719160104986877
BENIGN,65536,0.1,0.4158351421356201,344,1,193,225,0.5485564304461942
BENIGN,65536,0.3,0.43969011306762695,340,1,197,225,0.5538057742782152
BENIGN,65536,0.5,0.4496946334838867,339,1,198,225,0.5551181102362205
BENIGN,65536,0.7,0.4671802520751953,339,1,198,225,0.5551181102362205
BENIGN,65536,0.9,0.47254467010498047,339,1,198,225,0.5551181102362205
BENIGN,815149,0.1,0.42085719108581543,284,3,307,171,0.6272965879265092
BENIGN,815149,0.3,0.42499661445617676,284,3,307,171,0.6272965879265092
BENIGN,815149,0.5,0.4405512809753418,284,3,307,171,0.6272965879265092
BENIGN,815149,0.7,0.4568657875061035,284,3,307,171,0.6272965879265092
BENIGN,815149,0.9,0.46604108810424805,284,3,307,171,0.6272965879265092
DrDoS_SSDP,0,0.1,0.5289268493652344,468,1546,147154,2462988,0.9998207315531619
DrDoS_SSDP,0,0.3,0.553053617477417,469,1546,147153,2462988,0.999820348500925
DrDoS_SSDP,0,0.5,0.5640485286712646,469,1546,147153,2462988,0.999820348500925
DrDoS_SSDP,0,0.7,0.5775356292724609,469,1546,147153,2462988,0.999820348500925
DrDoS_SSDP,0,0.9,0.5789055824279785,469,1546,147153,2462988,0.999820348500925
DrDoS_SSDP,42,0.1,0.5694682598114014,17209,2,1297920,1295481,0.9934080540563317
DrDoS_SSDP,42,0.3,0.5899014472961426,17195,2,1297934,1295481,0.9934134167876474
DrDoS_SSDP,42,0.5,0.6116855144500732,17199,2,1297930,1295481,0.9934118845787
DrDoS_SSDP,42,0.7,0.6276521682739258,17216,2,1297913,1295481,0.9934053726906739
DrDoS_SSDP,42,0.9,0.6340477466583252,17204,2,1297925,1295481,0.9934099693175158
DrDoS_SSDP,123,0.1,0.5443029403686523,263494,23,388489,1958627,0.899068033907784
DrDoS_SSDP,123,0.3,0.5876848697662354,263498,23,388485,1958627,0.8990665016988366
DrDoS_SSDP,123,0.5,0.5900983810424805,263476,23,388507,1958627,0.899074928848047
DrDoS_SSDP,123,0.7,0.6087400913238525,263465,23,388518,1958627,0.8990791424226522
DrDoS_SSDP,123,0.9,0.6092226505279541,263440,23,388543,1958627,0.899088718728573
DrDoS_SSDP,222,0.1,0.5242156982421875,152774,7,1377,2456459,0.9414795775699932
DrDoS_SSDP,222,0.3,0.5506541728973389,152771,7,1380,2456459,0.9414807267267037
DrDoS_SSDP,222,0.5,0.5547895431518555,152762,7,1389,2456459,0.9414841741968353
DrDoS_SSDP,222,0.7,0.5782647132873535,152761,7,1390,2456459,0.9414845572490721
DrDoS_SSDP,222,0.9,0.5766820907592773,152753,7,1398,2456459,0.9414876216669668
DrDoS_SSDP,419,0.1,0.5244138240814209,43080,59,14181,2553346,0.9834981096372112
DrDoS_SSDP,419,0.3,0.5305347442626953,43064,59,14198,2553346,0.9835042384730006
DrDoS_SSDP,419,0.5,0.5504603385925293,43061,59,14202,2553346,0.9835053876297111
DrDoS_SSDP,419,0.7,0.5779955387115479,43061,59,14202,2553346,0.9835053876297111
DrDoS_SSDP,419,0.9,0.5724406242370605,43056,59,14207,2553346,0.9835073028908953
DrDoS_SSDP,844,0.1,0.5305366516113281,32959,4,376073,2201578,0.9873749813262035
DrDoS_SSDP,844,0.3,0.5419659614562988,33680,4,375352,2201578,0.9870988006634465
DrDoS_SSDP,844,0.5,0.5636212825775146,33010,4,376022,2201578,0.987355445662125
DrDoS_SSDP,844,0.7,0.5730392932891846,32994,4,376038,2201578,0.9873615744979143
DrDoS_SSDP,844,0.9,0.5784835815429688,32956,4,376076,2201578,0.987376130482914
DrDoS_SSDP,918,0.1,0.5900490283966064,57984,139191,1183751,1230232,0.9777890990994442
DrDoS_SSDP,918,0.3,0.6140058040618896,62926,139191,1179089,1230232,0.9758960549450129
DrDoS_SSDP,918,0.5,0.625108003616333,63292,139191,1178777,1230232,0.9757558578263318
DrDoS_SSDP,918,0.7,0.6338214874267578,63730,139191,1178366,1230232,0.9755880809465987
DrDoS_SSDP,918,0.9,0.6362855434417725,64068,139191,1178035,1230232,0.975458609290549
DrDoS_SSDP,1344,0.1,0.5948624610900879,165,8501,1588945,1021496,0.9999367963809225
DrDoS_SSDP,1344,0.3,0.617377758026123,165,8501,1588945,1021496,0.9999367963809225
DrDoS_SSDP,1344,0.5,0.6201756000518799,165,8501,1588945,1021496,0.9999367963809225
DrDoS_SSDP,1344,0.7,0.6547849178314209,165,8501,1588945,1021496,0.9999367963809225
DrDoS_SSDP,1344,0.9,0.6448185443878174,165,8501,1588945,1021496,0.9999367963809225
DrDoS_SSDP,65536,0.1,0.5796968936920166,1767,81105,1178577,1382400,0.9993231466975151
DrDoS_SSDP,65536,0.3,0.6059434413909912,1730,81105,1178606,1382400,0.9993373196302779
DrDoS_SSDP,65536,0.5,0.6107337474822998,1719,81105,1178611,1382400,0.9993415332048832
DrDoS_SSDP,65536,0.7,0.6507182121276855,1710,81105,1178619,1382400,0.9993449806750146
DrDoS_SSDP,65536,0.9,0.6437556743621826,1710,81105,1178619,1382400,0.9993449806750146
DrDoS_SSDP,815149,0.1,0.5099568367004395,79,13,101263,2509268,0.9999697388732901
DrDoS_SSDP,815149,0.3,0.5286695957183838,79,13,101263,2509268,0.9999697388732901
DrDoS_SSDP,815149,0.5,0.5425994396209717,79,13,101263,2509268,0.9999697388732901
DrDoS_SSDP,815149,0.7,0.5630321502685547,79,13,101263,2509268,0.9999697388732901
DrDoS_SSDP,815149,0.9,0.5743861198425293,79,13,101263,2509268,0.9999697388732901
