filter, sd, nu, gamma, n_components, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.1,10,1.0567049980163574,701,32,8,22,0.08005249343832022
BENIGN,0,0.5,0.1,10,1.1633634567260742,701,32,9,22,0.08005249343832022
BENIGN,0,0.7,0.1,10,1.2244703769683838,701,32,8,22,0.08005249343832022
BENIGN,0,0.1,0.5,10,1.0441381931304932,701,32,11,22,0.08005249343832022
BENIGN,0,0.5,0.5,10,1.10019850730896,701,32,8,22,0.08005249343832022
BENIGN,0,0.7,0.5,10,1.112971305847168,701,32,8,22,0.08005249343832022
BENIGN,0,0.1,0.9,10,1.0325195789337158,701,32,15,22,0.08005249343832022
BENIGN,0,0.5,0.9,10,1.1341552734375,701,32,8,22,0.08005249343832022
BENIGN,0,0.7,0.9,10,1.1310033798217773,701,32,8,22,0.08005249343832022
BENIGN,0,0.1,0.1,50,3.633298873901367,701,32,8,22,0.08005249343832022
BENIGN,0,0.5,0.1,50,3.919018507003784,701,32,9,22,0.08005249343832022
BENIGN,0,0.7,0.1,50,4.084728717803955,701,32,8,22,0.08005249343832022
BENIGN,0,0.1,0.5,50,3.4132275581359863,701,32,11,22,0.08005249343832022
BENIGN,0,0.5,0.5,50,3.5634560585021973,701,32,8,22,0.08005249343832022
BENIGN,0,0.7,0.5,50,3.88507080078125,701,32,8,22,0.08005249343832022
BENIGN,0,0.1,0.9,50,3.5473272800445557,701,32,15,22,0.08005249343832022
BENIGN,0,0.5,0.9,50,3.8372673988342285,701,32,8,22,0.08005249343832022
BENIGN,0,0.7,0.9,50,3.7880349159240723,701,32,8,22,0.08005249343832022
BENIGN,0,0.1,0.1,100,4.710381507873535,701,32,8,22,0.08005249343832022
BENIGN,0,0.5,0.1,100,4.744187593460083,701,32,9,22,0.08005249343832022
BENIGN,0,0.7,0.1,100,4.975968360900879,701,32,8,22,0.08005249343832022
BENIGN,0,0.1,0.5,100,4.6261186599731445,701,32,11,22,0.08005249343832022
BENIGN,0,0.5,0.5,100,4.763830661773682,701,32,8,22,0.08005249343832022
BENIGN,0,0.7,0.5,100,4.771927356719971,701,32,8,22,0.08005249343832022
BENIGN,0,0.1,0.9,100,4.570561170578003,701,32,15,22,0.08005249343832022
BENIGN,0,0.5,0.9,100,4.623471736907959,701,32,8,22,0.08005249343832022
BENIGN,0,0.7,0.9,100,4.921504259109497,701,32,8,22,0.08005249343832022
BENIGN,0,0.1,0.1,150,6.6295084953308105,701,32,8,22,0.08005249343832022
BENIGN,0,0.5,0.1,150,6.962579727172852,701,32,9,22,0.08005249343832022
BENIGN,0,0.7,0.1,150,7.303892374038696,701,32,8,22,0.08005249343832022
BENIGN,0,0.1,0.5,150,6.609225749969482,701,32,11,22,0.08005249343832022
BENIGN,0,0.5,0.5,150,7.086163520812988,701,32,8,22,0.08005249343832022
BENIGN,0,0.7,0.5,150,6.897558927536011,701,32,8,22,0.08005249343832022
BENIGN,0,0.1,0.9,150,6.5630598068237305,701,32,15,22,0.08005249343832022
BENIGN,0,0.5,0.9,150,6.886972188949585,701,32,8,22,0.08005249343832022
BENIGN,0,0.7,0.9,150,6.897314071655273,701,32,8,22,0.08005249343832022
BENIGN,0,0.1,0.1,200,7.997126579284668,701,32,8,22,0.08005249343832022
BENIGN,0,0.5,0.1,200,8.075536012649536,701,32,9,22,0.08005249343832022
BENIGN,0,0.7,0.1,200,8.704748630523682,701,32,8,22,0.08005249343832022
BENIGN,0,0.1,0.5,200,8.156610488891602,701,32,11,22,0.08005249343832022
BENIGN,0,0.5,0.5,200,8.135008096694946,701,32,8,22,0.08005249343832022
BENIGN,0,0.7,0.5,200,8.361754417419434,701,32,8,22,0.08005249343832022
BENIGN,0,0.1,0.9,200,7.527287006378174,701,32,15,22,0.08005249343832022
BENIGN,0,0.5,0.9,200,8.190362453460693,701,32,8,22,0.08005249343832022
BENIGN,0,0.7,0.9,200,8.284122705459595,701,32,8,22,0.08005249343832022
BENIGN,42,0.1,0.1,10,1.035860300064087,683,1,20,58,0.1036745406824147
BENIGN,42,0.5,0.1,10,1.1254708766937256,684,1,19,58,0.10236220472440945
BENIGN,42,0.7,0.1,10,1.2557570934295654,683,1,20,58,0.1036745406824147
BENIGN,42,0.1,0.5,10,1.0120644569396973,681,1,22,58,0.1062992125984252
BENIGN,42,0.5,0.5,10,1.1047427654266357,683,1,20,58,0.1036745406824147
BENIGN,42,0.7,0.5,10,1.1126549243927002,683,1,20,58,0.1036745406824147
BENIGN,42,0.1,0.9,10,1.0550575256347656,682,1,21,58,0.10498687664041995
BENIGN,42,0.5,0.9,10,1.111093521118164,683,1,20,58,0.1036745406824147
BENIGN,42,0.7,0.9,10,1.1185355186462402,683,1,20,58,0.1036745406824147
BENIGN,42,0.1,0.1,50,3.403831958770752,683,1,20,58,0.1036745406824147
BENIGN,42,0.5,0.1,50,3.4997737407684326,684,1,19,58,0.10236220472440945
BENIGN,42,0.7,0.1,50,3.6871538162231445,683,1,20,58,0.1036745406824147
BENIGN,42,0.1,0.5,50,3.5569164752960205,681,1,22,58,0.1062992125984252
BENIGN,42,0.5,0.5,50,3.555382013320923,683,1,20,58,0.1036745406824147
BENIGN,42,0.7,0.5,50,3.663891315460205,683,1,20,58,0.1036745406824147
BENIGN,42,0.1,0.9,50,3.245103597640991,683,1,20,58,0.1036745406824147
BENIGN,42,0.5,0.9,50,3.760249137878418,683,1,20,58,0.1036745406824147
BENIGN,42,0.7,0.9,50,3.7938101291656494,683,1,20,58,0.1036745406824147
BENIGN,42,0.1,0.1,100,4.434630870819092,683,1,20,58,0.1036745406824147
BENIGN,42,0.5,0.1,100,4.500547647476196,684,1,19,58,0.10236220472440945
BENIGN,42,0.7,0.1,100,4.764872789382935,683,1,20,58,0.1036745406824147
BENIGN,42,0.1,0.5,100,4.340893268585205,681,1,22,58,0.1062992125984252
BENIGN,42,0.5,0.5,100,4.476364612579346,683,1,20,58,0.1036745406824147
BENIGN,42,0.7,0.5,100,4.68751335144043,683,1,20,58,0.1036745406824147
BENIGN,42,0.1,0.9,100,4.282520055770874,683,1,20,58,0.1036745406824147
BENIGN,42,0.5,0.9,100,4.609748840332031,683,1,20,58,0.1036745406824147
BENIGN,42,0.7,0.9,100,4.519382953643799,683,1,20,58,0.1036745406824147
BENIGN,42,0.1,0.1,150,6.707779169082642,683,1,20,58,0.1036745406824147
BENIGN,42,0.5,0.1,150,6.787763357162476,684,1,19,58,0.10236220472440945
BENIGN,42,0.7,0.1,150,7.12050986289978,683,1,20,58,0.1036745406824147
BENIGN,42,0.1,0.5,150,6.568454027175903,681,1,22,58,0.1062992125984252
BENIGN,42,0.5,0.5,150,6.906768083572388,683,1,20,58,0.1036745406824147
BENIGN,42,0.7,0.5,150,6.95117712020874,683,1,20,58,0.1036745406824147
BENIGN,42,0.1,0.9,150,6.139712572097778,683,1,20,58,0.1036745406824147
BENIGN,42,0.5,0.9,150,6.690414905548096,683,1,20,58,0.1036745406824147
BENIGN,42,0.7,0.9,150,6.788548946380615,683,1,20,58,0.1036745406824147
BENIGN,42,0.1,0.1,200,7.736147403717041,683,1,20,58,0.1036745406824147
BENIGN,42,0.5,0.1,200,8.035858392715454,684,1,19,58,0.10236220472440945
BENIGN,42,0.7,0.1,200,8.488000392913818,683,1,20,58,0.1036745406824147
BENIGN,42,0.1,0.5,200,7.596374750137329,681,1,22,58,0.1062992125984252
BENIGN,42,0.5,0.5,200,8.046783447265625,683,1,20,58,0.1036745406824147
BENIGN,42,0.7,0.5,200,8.28920292854309,683,1,20,58,0.1036745406824147
BENIGN,42,0.1,0.9,200,7.598649024963379,683,1,20,58,0.1036745406824147
BENIGN,42,0.5,0.9,200,8.16138768196106,683,1,20,58,0.1036745406824147
BENIGN,42,0.7,0.9,200,7.999881267547607,683,1,20,58,0.1036745406824147
BENIGN,123,0.1,0.1,10,1.03287935256958,644,31,17,72,0.15485564304461943
BENIGN,123,0.5,0.1,10,1.1180646419525146,643,31,18,72,0.15616797900262466
BENIGN,123,0.7,0.1,10,1.1882731914520264,641,31,19,72,0.15879265091863518
BENIGN,123,0.1,0.5,10,1.0491588115692139,642,31,21,72,0.15748031496062992
BENIGN,123,0.5,0.5,10,1.178462028503418,637,31,23,72,0.16404199475065617
BENIGN,123,0.7,0.5,10,1.1481919288635254,633,31,27,72,0.16929133858267717
BENIGN,123,0.1,0.9,10,1.0534355640411377,643,31,20,72,0.15616797900262466
BENIGN,123,0.5,0.9,10,1.1102328300476074,618,31,42,72,0.1889763779527559
BENIGN,123,0.7,0.9,10,1.1182005405426025,613,31,47,72,0.19553805774278216
BENIGN,123,0.1,0.1,50,3.65608286857605,644,31,17,72,0.15485564304461943
BENIGN,123,0.5,0.1,50,3.8466715812683105,643,31,18,72,0.15616797900262466
BENIGN,123,0.7,0.1,50,4.204920530319214,641,31,19,72,0.15879265091863518
BENIGN,123,0.1,0.5,50,3.563366413116455,642,31,21,72,0.15748031496062992
BENIGN,123,0.5,0.5,50,4.002679824829102,637,31,23,72,0.16404199475065617
BENIGN,123,0.7,0.5,50,3.928898334503174,633,31,27,72,0.16929133858267717
BENIGN,123,0.1,0.9,50,3.943424940109253,643,31,20,72,0.15616797900262466
BENIGN,123,0.5,0.9,50,3.87241268157959,618,31,42,72,0.1889763779527559
BENIGN,123,0.7,0.9,50,3.7694008350372314,613,31,47,72,0.19553805774278216
BENIGN,123,0.1,0.1,100,4.638808012008667,644,31,17,72,0.15485564304461943
BENIGN,123,0.5,0.1,100,4.870406150817871,643,31,18,72,0.15616797900262466
BENIGN,123,0.7,0.1,100,5.081456184387207,641,31,19,72,0.15879265091863518
BENIGN,123,0.1,0.5,100,4.7145185470581055,642,31,21,72,0.15748031496062992
BENIGN,123,0.5,0.5,100,5.023174285888672,637,31,23,72,0.16404199475065617
BENIGN,123,0.7,0.5,100,4.874538421630859,633,31,27,72,0.16929133858267717
BENIGN,123,0.1,0.9,100,4.870257616043091,643,31,20,72,0.15616797900262466
BENIGN,123,0.5,0.9,100,4.878450155258179,618,31,42,72,0.1889763779527559
BENIGN,123,0.7,0.9,100,4.992098093032837,613,31,47,72,0.19553805774278216
BENIGN,123,0.1,0.1,150,6.8464415073394775,644,31,17,72,0.15485564304461943
BENIGN,123,0.5,0.1,150,7.208348989486694,643,31,18,72,0.15616797900262466
BENIGN,123,0.7,0.1,150,7.4906346797943115,641,31,19,72,0.15879265091863518
BENIGN,123,0.1,0.5,150,6.907226800918579,642,31,21,72,0.15748031496062992
BENIGN,123,0.5,0.5,150,7.286694765090942,637,31,23,72,0.16404199475065617
BENIGN,123,0.7,0.5,150,7.1344499588012695,633,31,27,72,0.16929133858267717
BENIGN,123,0.1,0.9,150,6.62534761428833,643,31,20,72,0.15616797900262466
BENIGN,123,0.5,0.9,150,7.013331890106201,618,31,42,72,0.1889763779527559
BENIGN,123,0.7,0.9,150,7.34973669052124,613,31,47,72,0.19553805774278216
BENIGN,123,0.1,0.1,200,7.802908897399902,644,31,17,72,0.15485564304461943
BENIGN,123,0.5,0.1,200,8.294722080230713,643,31,18,72,0.15616797900262466
BENIGN,123,0.7,0.1,200,8.610328435897827,641,31,19,72,0.15879265091863518
BENIGN,123,0.1,0.5,200,8.09212613105774,642,31,21,72,0.15748031496062992
BENIGN,123,0.5,0.5,200,7.946776628494263,637,31,23,72,0.16404199475065617
BENIGN,123,0.7,0.5,200,8.56459927558899,633,31,27,72,0.16929133858267717
BENIGN,123,0.1,0.9,200,8.182022094726562,643,31,20,72,0.15616797900262466
BENIGN,123,0.5,0.9,200,8.16724705696106,618,31,42,72,0.1889763779527559
BENIGN,123,0.7,0.9,200,8.630004405975342,613,31,47,72,0.19553805774278216
BENIGN,222,0.1,0.1,10,1.108983039855957,698,30,12,24,0.08398950131233596
BENIGN,222,0.5,0.1,10,1.1649582386016846,697,30,13,24,0.08530183727034121
BENIGN,222,0.7,0.1,10,1.3157868385314941,698,30,12,24,0.08398950131233596
BENIGN,222,0.1,0.5,10,1.1030492782592773,698,30,12,24,0.08398950131233596
BENIGN,222,0.5,0.5,10,1.1636035442352295,698,30,12,24,0.08398950131233596
BENIGN,222,0.7,0.5,10,1.1721324920654297,697,30,13,24,0.08530183727034121
BENIGN,222,0.1,0.9,10,1.0807774066925049,698,30,12,24,0.08398950131233596
BENIGN,222,0.5,0.9,10,1.141822099685669,697,30,13,24,0.08530183727034121
BENIGN,222,0.7,0.9,10,1.1559357643127441,697,30,13,24,0.08530183727034121
BENIGN,222,0.1,0.1,50,3.9792487621307373,698,30,12,24,0.08398950131233596
BENIGN,222,0.5,0.1,50,3.804243564605713,697,30,13,24,0.08530183727034121
BENIGN,222,0.7,0.1,50,4.034636735916138,698,30,12,24,0.08398950131233596
BENIGN,222,0.1,0.5,50,4.212048292160034,698,30,12,24,0.08398950131233596
BENIGN,222,0.5,0.5,50,4.104509353637695,698,30,12,24,0.08398950131233596
BENIGN,222,0.7,0.5,50,3.9421308040618896,697,30,13,24,0.08530183727034121
BENIGN,222,0.1,0.9,50,4.035978078842163,698,30,12,24,0.08398950131233596
BENIGN,222,0.5,0.9,50,3.936635732650757,697,30,13,24,0.08530183727034121
BENIGN,222,0.7,0.9,50,4.059733629226685,697,30,13,24,0.08530183727034121
BENIGN,222,0.1,0.1,100,4.804167747497559,698,30,12,24,0.08398950131233596
BENIGN,222,0.5,0.1,100,5.077331304550171,697,30,13,24,0.08530183727034121
BENIGN,222,0.7,0.1,100,5.175833225250244,698,30,12,24,0.08398950131233596
BENIGN,222,0.1,0.5,100,4.774218320846558,698,30,12,24,0.08398950131233596
BENIGN,222,0.5,0.5,100,4.90795111656189,698,30,12,24,0.08398950131233596
BENIGN,222,0.7,0.5,100,5.084397554397583,697,30,13,24,0.08530183727034121
BENIGN,222,0.1,0.9,100,4.857583284378052,698,30,12,24,0.08398950131233596
BENIGN,222,0.5,0.9,100,4.8993589878082275,697,30,13,24,0.08530183727034121
